1	--|BR|FR|GB|GT|HN|RU|SG|US
10	BD|BR|IQ
100	AO|CA|US
1000	US
10000	JP
10001	JP
10002	JP
10003	JP
10004	JP
10006	JP|US
10010	JP
10011	JP
10012	JP
10013	JP|US
10014	JP
10015	JP
10016	JP
10019	JP
10021	JP|US
10022	NZ
10023	AU
10024	SG
10026	--|AP|AU|CA|CN|DE|ES|EU|HK|IN|IT|JP|KR|MY|NL|NZ|PH|SG|TH|TW|US
10029	IN
10030	MY
10031	SG
10032	HK
10033	HK
10034	KR
10035	KR
10036	KR
10037	KR
10039	KR
10040	KR
10042	KR
10043	KR
10044	KR
10045	KR
10046	KR
10047	KR
10049	KR
10050	KR
10051	KR
10052	KR
10053	KR
10054	KR
10055	KR
10056	KR
10057	US
10058	KR
10061	KR
10063	KR
10066	KR
10067	KR
10068	KR
10069	KR
10071	KR
10073	KR
10074	HK
10076	MN
10077	IN
10080	AU
10081	MY
10082	HK
10084	AU
10085	TW
10088	KR
10091	--|SG
10094	BN|US
10096	PH
10097	AU
10098	HK
10099	HK
101	US
10100	AP|AU|CH|HK|SG
10101	BN
10102	IN|IT|SG|TW
10103	HK
10104	AU
10105	AU
10106	AU
10107	PH|TW
10108	GB
10109	MN
10110	NZ
10111	MY
10113	AU
10115	AU
10116	HK
10118	HK
10120	SG
10125	IN
10126	TW|US
10127	HK
10128	AU
10129	AP|AU|EU|GB|MX|US
10130	FM
10131	CK
10133	TW
10135	TW
10137	ID
10138	HK
10139	PH
10141	PH
10143	AU|US
10145	AU
10146	AP|AU|US
10147	HK
10148	AU
10150	AU
10151	TH
10152	AU
10153	HK
10155	KR
10156	KR
10158	KR
10159	KR
10160	KR
10161	KR
10162	KR
10164	KR
10165	KR
10166	KR
10167	KR
10169	KR
10170	KR
10171	KR
10173	KR
10174	CN|KR
10175	KR
10176	KR
10177	KR
10178	KR
10179	KR
10180	KR
10181	KR
10182	KR
10183	KR
10184	KR
10185	KR
10187	KR
10189	KR
10190	KR
10192	KR
10194	KR
10196	KR
10197	KR
10198	KR
10199	IN
102	US
10200	NZ
10201	IN
10202	HK
10203	AU
10204	MY
10205	HK
10207	AU
10208	ID
10209	US
10210	AU
10211	HK
10212	CN
10213	AU
10215	IN
10217	ID
10218	AU
10219	MN
10220	ID
10221	AU|US
10223	--|AU|SG|US
10225	IN
10226	LA
10227	TH
10228	AP|CN|US
10229	HK|IN|JP|TW|US
10231	HK
10232	HK
10234	AU
10235	AU
10236	AU
10238	HK
10239	IN
10240	US
10241	US
10242	--|US
10250	US
10255	US
10259	US
10261	US
10264	CA|US
10265	CA
10269	BZ
10271	US
10273	US
10274	US
10277	AR
10278	DE|JM|US
10279	US
10285	US
10288	US
10290	BE|US
10292	JM|US
10294	US
10297	IE|US
10298	US
10299	CO|US
103	US
10302	US
10309	US
10310	GB|HK|TW|US
10316	US
10317	US
10318	AR
10320	US
10322	US
10325	US
10326	US
10329	CA
10333	US
10334	US
10337	US
10340	US
10343	US
10346	US
10347	US
10348	US
10349	US
10352	US
10353	US
10355	US
10357	US
10359	US
10361	GB|US
10362	BR
10364	US
10367	US
10370	US
10372	US
10377	US
10379	US
10381	US
10384	US
10386	US
10388	BM|US
10390	US
10392	US
10396	PR|US
10397	CA|US
104	US
10400	CA
10405	US
10406	US
10411	US
10412	BR
10417	BR
10419	US
10420	MX
10421	US
10423	US
10425	US
10428	US
10429	BR
10430	US
10431	US
10434	CM|PY|US
10436	MX
10437	US
10439	US
10440	US
10441	US
10442	US
10444	US
10445	US
10448	US
10451	US
10452	AR
10453	US
10455	AP|EU|FR|IN|US
10457	SE|US
10458	US
10461	EU|US
10464	US
10466	US
10469	US
10474	GB|ZA
10475	US
10479	MX
10480	US
10481	AR
10487	US
10488	US
10489	US
